目标距离：50,步长：5
532:(X,Y) = (-0.796456,-1.98952)
533:(X,Y) = (0.917878,-0.959446)
534:(X,Y) = (-0.864135,-1.86743)
535:(X,Y) = (-0.620396,0.117665)
536:(X,Y) = (-2.27847,-1.00072)
537:(X,Y) = (-0.437461,-1.78218)
538:(X,Y) = (-0.576974,-3.77731)
539:(X,Y) = (1.13736,-4.80739)
540:(X,Y) = (2.94998,-3.96215)
541:(X,Y) = (3.33159,-5.92541)
542:(X,Y) = (3.67889,-7.89502)
543:(X,Y) = (5.16518,-9.23328)
544:(X,Y) = (3.33809,-10.0468)
545:(X,Y) = (3.30318,-8.04706)
546:(X,Y) = (3.23339,-6.04828)
547:(X,Y) = (1.34235,-5.39714)
548:(X,Y) = (-0.589504,-5.91478)
549:(X,Y) = (1.32311,-5.33004)
550:(X,Y) = (-0.67659,-5.29513)
551:(X,Y) = (-0.850901,-3.30274)
552:(X,Y) = (0.179175,-5.01708)
553:(X,Y) = (1.20925,-6.73141)
554:(X,Y) = (1.38356,-8.7238)
555:(X,Y) = (-0.495823,-9.40784)
556:(X,Y) = (0.816296,-7.89842)
557:(X,Y) = (0.886095,-5.89964)
558:(X,Y) = (-0.82824,-4.86956)
559:(X,Y) = (-1.85832,-6.5839)
560:(X,Y) = (-2.47635,-8.48601)
561:(X,Y) = (-0.744299,-9.48601)
562:(X,Y) = (-2.27639,-8.20044)
563:(X,Y) = (-2.89442,-6.29832)
564:(X,Y) = (-0.953831,-5.81448)
565:(X,Y) = (-0.269791,-7.69387)
566:(X,Y) = (0.41425,-5.81448)
567:(X,Y) = (0.344451,-7.81326)
568:(X,Y) = (1.18969,-9.62588)
569:(X,Y) = (2.90402,-10.656)
570:(X,Y) = (1.18969,-11.686)
571:(X,Y) = (0.312945,-9.88844)
572:(X,Y) = (-0.805441,-11.5465)
573:(X,Y) = (-2.61806,-10.7013)
574:(X,Y) = (-2.409,-8.71224)
575:(X,Y) = (-4.35774,-9.16214)
576:(X,Y) = (-2.35896,-9.23194)
577:(X,Y) = (-3.043,-7.35255)
578:(X,Y) = (-5.04269,-7.38746)
579:(X,Y) = (-6.73879,-6.32762)
580:(X,Y) = (-7.05166,-8.30299)
581:(X,Y) = (-8.86427,-9.14823)
582:(X,Y) = (-9.41555,-11.0708)
583:(X,Y) = (-7.79752,-12.2463)
584:(X,Y) = (-6.67913,-10.5883)
585:(X,Y) = (-7.64875,-8.83901)
586:(X,Y) = (-6.83528,-10.6661)
587:(X,Y) = (-6.38537,-8.71736)
588:(X,Y) = (-8.00341,-7.54179)
589:(X,Y) = (-9.98394,-7.82014)
590:(X,Y) = (-8.47452,-6.50802)
591:(X,Y) = (-6.92023,-5.24938)
592:(X,Y) = (-4.95062,-5.59667)
593:(X,Y) = (-5.98069,-7.31101)
594:(X,Y) = (-4.34239,-8.45816)
595:(X,Y) = (-6.07444,-9.45816)
596:(X,Y) = (-4.10482,-9.11087)
597:(X,Y) = (-6.07444,-8.76357)
598:(X,Y) = (-5.69282,-6.80032)
599:(X,Y) = (-5.93656,-4.81522)
600:(X,Y) = (-7.59464,-5.93361)
601:(X,Y) = (-7.00989,-7.84622)
602:(X,Y) = (-8.82251,-7.00098)
603:(X,Y) = (-6.94312,-7.68502)
604:(X,Y) = (-6.39185,-5.7625)
605:(X,Y) = (-8.06919,-4.67322)
606:(X,Y) = (-6.81055,-3.11893)
607:(X,Y) = (-8.71266,-2.50089)
608:(X,Y) = (-7.56551,-4.1392)
609:(X,Y) = (-9.5218,-3.72338)
610:(X,Y) = (-9.69611,-1.73099)
611:(X,Y) = (-11.5505,-0.981773)
612:(X,Y) = (-9.55535,-0.84226)
613:(X,Y) = (-7.80611,-1.81188)
614:(X,Y) = (-6.07406,-0.811879)
615:(X,Y) = (-4.07528,-0.74208)
616:(X,Y) = (-2.43698,-1.88923)
617:(X,Y) = (-1.26141,-3.50727)
618:(X,Y) = (-0.777564,-5.44786)
619:(X,Y) = (0.731855,-4.13574)
620:(X,Y) = (2.70723,-4.44861)
621:(X,Y) = (4.28325,-5.67993)
622:(X,Y) = (2.91926,-4.21722)
623:(X,Y) = (1.01714,-3.59919)
624:(X,Y) = (1.2262,-1.61015)
625:(X,Y) = (1.01714,-3.59919)
626:(X,Y) = (-0.714907,-4.59919)
627:(X,Y) = (-0.575394,-6.59432)
628:(X,Y) = (1.13894,-5.56424)
629:(X,Y) = (3.13864,-5.59915)
630:(X,Y) = (2.16902,-7.34839)
631:(X,Y) = (0.937693,-5.77237)
632:(X,Y) = (1.90731,-7.5216)
633:(X,Y) = (0.421023,-6.18334)
634:(X,Y) = (-1.54223,-5.80173)
635:(X,Y) = (-1.22936,-7.7771)
636:(X,Y) = (-3.14197,-7.19236)
637:(X,Y) = (-2.3285,-5.36527)
638:(X,Y) = (-1.04292,-6.89736)
639:(X,Y) = (-0.695627,-4.92774)
640:(X,Y) = (0.743053,-3.53842)
641:(X,Y) = (-1.22656,-3.19113)
642:(X,Y) = (0.758529,-3.43487)
643:(X,Y) = (2.24482,-4.77313)
644:(X,Y) = (4.07191,-3.95965)
645:(X,Y) = (5.21906,-5.59796)
646:(X,Y) = (6.45039,-4.02194)
647:(X,Y) = (8.24797,-4.89868)
648:(X,Y) = (9.68665,-6.288)
649:(X,Y) = (10.7759,-7.96534)
650:(X,Y) = (12.1901,-6.55112)
651:(X,Y) = (11.6389,-8.47365)
652:(X,Y) = (12.6389,-6.7416)
653:(X,Y) = (13.3881,-4.88723)
654:(X,Y) = (11.4248,-4.50561)
655:(X,Y) = (9.49298,-3.98797)
656:(X,Y) = (9.49298,-5.98797)
657:(X,Y) = (11.482,-5.77892)
658:(X,Y) = (9.92773,-7.03756)
659:(X,Y) = (11.1591,-5.46154)
660:(X,Y) = (12.5977,-6.85085)
661:(X,Y) = (14.5731,-6.53798)
662:(X,Y) = (12.6413,-6.02034)
663:(X,Y) = (14.0799,-4.63103)
664:(X,Y) = (15.2555,-3.01299)
665:(X,Y) = (15.1508,-5.01025)
666:(X,Y) = (13.9753,-3.39222)
667:(X,Y) = (14.56,-5.30483)
668:(X,Y) = (14.3857,-3.31244)
669:(X,Y) = (16.0818,-4.37228)
670:(X,Y) = (15.2051,-6.16987)
671:(X,Y) = (16.6193,-7.58408)
672:(X,Y) = (14.87,-6.61446)
673:(X,Y) = (13.7516,-4.95639)
674:(X,Y) = (11.7711,-4.67804)
675:(X,Y) = (13.3684,-3.47441)
676:(X,Y) = (11.9542,-4.88862)
677:(X,Y) = (13.0725,-6.5467)
678:(X,Y) = (13.9493,-4.74911)
679:(X,Y) = (11.9797,-4.40181)
680:(X,Y) = (10.4254,-3.14317)
681:(X,Y) = (12.338,-3.72792)
682:(X,Y) = (10.5721,-4.66686)
683:(X,Y) = (8.745,-3.85339)
684:(X,Y) = (7.1067,-2.70623)
685:(X,Y) = (8.8028,-3.76607)
686:(X,Y) = (6.97571,-4.57954)
687:(X,Y) = (5.07359,-3.96151)
688:(X,Y) = (3.2465,-3.14804)
689:(X,Y) = (1.44891,-4.02478)
690:(X,Y) = (-0.189391,-2.87763)
691:(X,Y) = (1.62322,-2.03239)
692:(X,Y) = (1.58832,-0.0326948)
693:(X,Y) = (2.90044,-1.54211)
694:(X,Y) = (1.8406,0.153982)
695:(X,Y) = (3.74271,0.772016)
696:(X,Y) = (3.22507,-1.15984)
697:(X,Y) = (4.71136,0.178426)
698:(X,Y) = (6.64322,-0.339212)
699:(X,Y) = (8.40911,-1.27816)
700:(X,Y) = (6.75104,-2.39654)
701:(X,Y) = (4.77566,-2.70941)
702:(X,Y) = (3.49008,-4.2415)
703:(X,Y) = (5.36947,-4.92554)
704:(X,Y) = (7.10152,-5.92554)
705:(X,Y) = (6.96201,-3.93041)
706:(X,Y) = (8.47143,-5.24253)
707:(X,Y) = (7.00872,-3.87853)
708:(X,Y) = (5.11768,-4.52967)
709:(X,Y) = (6.64977,-3.24409)
710:(X,Y) = (5.39113,-1.6898)
711:(X,Y) = (6.64977,-3.24409)
712:(X,Y) = (4.77039,-2.56005)
713:(X,Y) = (6.59748,-1.74658)
714:(X,Y) = (6.45796,0.248548)
715:(X,Y) = (6.28365,-1.74384)
716:(X,Y) = (7.25327,0.00539803)
717:(X,Y) = (6.02195,1.58142)
718:(X,Y) = (4.99187,-0.132915)
719:(X,Y) = (6.11026,1.52516)
720:(X,Y) = (6.11026,-0.47484)
721:(X,Y) = (6.00559,-2.4721)
722:(X,Y) = (7.20922,-4.06937)
723:(X,Y) = (7.82725,-5.97148)
724:(X,Y) = (9.71829,-5.32035)
725:(X,Y) = (7.86392,-6.06956)
726:(X,Y) = (9.22792,-7.53227)
727:(X,Y) = (10.2279,-5.80022)
728:(X,Y) = (10.6437,-3.84392)
729:(X,Y) = (12.5756,-3.32628)
730:(X,Y) = (11.2116,-4.78899)
731:(X,Y) = (13.0788,-4.07225)
732:(X,Y) = (11.0864,-4.24657)
733:(X,Y) = (9.33713,-5.21619)
734:(X,Y) = (7.99887,-6.70248)
735:(X,Y) = (6.21685,-5.79449)
736:(X,Y) = (4.66256,-4.53585)
737:(X,Y) = (3.19985,-5.89985)
738:(X,Y) = (2.54872,-7.79089)
739:(X,Y) = (4.50501,-8.20671)
740:(X,Y) = (5.18905,-10.0861)
741:(X,Y) = (3.23276,-10.5019)
742:(X,Y) = (2.23276,-12.234)
743:(X,Y) = (3.54487,-13.7434)
744:(X,Y) = (1.8868,-14.8618)
745:(X,Y) = (1.60845,-12.8812)
746:(X,Y) = (0.122164,-14.2195)
747:(X,Y) = (2.12186,-14.2544)
748:(X,Y) = (3.94895,-13.4409)
749:(X,Y) = (2.04684,-12.8229)
750:(X,Y) = (0.449566,-14.0265)
751:(X,Y) = (1.56795,-15.6846)
752:(X,Y) = (2.0518,-17.6252)
753:(X,Y) = (3.94283,-16.9741)
754:(X,Y) = (5.72485,-16.0661)
755:(X,Y) = (4.31063,-17.4803)
756:(X,Y) = (3.43389,-15.6827)
757:(X,Y) = (5.16594,-16.6827)
758:(X,Y) = (3.16716,-16.6129)
759:(X,Y) = (5.00817,-17.3944)
760:(X,Y) = (6.88755,-16.7103)
761:(X,Y) = (7.43883,-14.7878)
762:(X,Y) = (9.38757,-15.2377)
763:(X,Y) = (11.0456,-14.1193)
764:(X,Y) = (12.435,-12.6806)
765:(X,Y) = (10.5224,-12.0959)
766:(X,Y) = (8.53726,-11.8522)
767:(X,Y) = (8.781,-13.8372)
768:(X,Y) = (9.12829,-11.8676)
769:(X,Y) = (10.6377,-10.5555)
770:(X,Y) = (10.9506,-12.5309)
771:(X,Y) = (12.3399,-11.0922)
772:(X,Y) = (10.5273,-10.247)
773:(X,Y) = (10.3878,-12.2421)
774:(X,Y) = (12.3441,-12.6579)
775:(X,Y) = (11.6273,-14.5251)
776:(X,Y) = (13.5184,-15.1762)
777:(X,Y) = (15.1957,-16.2655)
778:(X,Y) = (13.2325,-15.8839)
779:(X,Y) = (11.4198,-16.7291)
780:(X,Y) = (11.8015,-18.6924)
781:(X,Y) = (13.4788,-19.7817)
782:(X,Y) = (15.3698,-19.1305)
783:(X,Y) = (16.4591,-17.4532)
784:(X,Y) = (17.1432,-15.5738)
785:(X,Y) = (17.4904,-13.6042)
786:(X,Y) = (16.0042,-14.9424)
787:(X,Y) = (15.9344,-16.9412)
788:(X,Y) = (17.3486,-15.527)
789:(X,Y) = (15.5993,-14.5574)
790:(X,Y) = (13.6188,-14.279)
791:(X,Y) = (13.3751,-12.2939)
792:(X,Y) = (14.283,-10.5119)
793:(X,Y) = (12.294,-10.721)
794:(X,Y) = (14.1484,-11.4702)
795:(X,Y) = (15.118,-13.2194)
796:(X,Y) = (14.6003,-15.1513)
797:(X,Y) = (15.57,-13.4021)
798:(X,Y) = (15.7095,-15.3972)
799:(X,Y) = (17.3478,-16.5443)
800:(X,Y) = (16.0357,-15.0349)
801:(X,Y) = (14.0951,-15.5188)
802:(X,Y) = (13.7478,-13.5491)
803:(X,Y) = (15.6021,-12.7999)
804:(X,Y) = (13.607,-12.9394)
805:(X,Y) = (15.0457,-11.5501)
806:(X,Y) = (17.0153,-11.8974)
807:(X,Y) = (18.9559,-12.3813)
808:(X,Y) = (19.0954,-10.3861)
809:(X,Y) = (17.12,-10.699)
810:(X,Y) = (19.0222,-11.317)
811:(X,Y) = (19.2312,-13.3061)
812:(X,Y) = (20.8893,-12.1877)
813:(X,Y) = (22.4653,-10.9564)
814:(X,Y) = (20.6527,-11.8016)
815:(X,Y) = (20.0679,-9.88901)
816:(X,Y) = (19.9981,-7.89022)
817:(X,Y) = (19.7891,-5.90118)
818:(X,Y) = (19.3733,-3.94489)
819:(X,Y) = (18.3134,-2.24879)
820:(X,Y) = (16.8747,-3.63811)
821:(X,Y) = (16.631,-1.65301)
822:(X,Y) = (18.4436,-2.49825)
823:(X,Y) = (16.7663,-3.58753)
824:(X,Y) = (18.5934,-2.77405)
825:(X,Y) = (19.6827,-1.09671)
826:(X,Y) = (20.801,-2.75479)
827:(X,Y) = (22.4784,-1.66551)
828:(X,Y) = (20.5378,-2.14935)
829:(X,Y) = (18.5527,-1.90562)
830:(X,Y) = (20.2847,-2.90562)
831:(X,Y) = (20.2498,-0.90592)
832:(X,Y) = (18.8605,0.532759)
833:(X,Y) = (20.8578,0.637431)
834:(X,Y) = (20.9973,-1.3577)
835:(X,Y) = (22.7632,-2.29664)
836:(X,Y) = (21.918,-0.484024)
837:(X,Y) = (21.6742,-2.46912)
838:(X,Y) = (22.391,-0.601956)
839:(X,Y) = (23.8052,-2.01617)
840:(X,Y) = (24.9807,-3.6342)
841:(X,Y) = (25.7622,-5.47521)
842:(X,Y) = (23.7926,-5.82251)
843:(X,Y) = (25.2068,-7.23672)
844:(X,Y) = (26.5961,-8.6754)
845:(X,Y) = (26.909,-6.70003)
846:(X,Y) = (24.9394,-7.04732)
847:(X,Y) = (26.2249,-8.57941)
848:(X,Y) = (27.0384,-10.4065)
849:(X,Y) = (26.1617,-8.60891)
850:(X,Y) = (25.3164,-6.7963)
851:(X,Y) = (23.5844,-7.7963)
852:(X,Y) = (25.0231,-6.40698)
853:(X,Y) = (23.4258,-5.20335)
854:(X,Y) = (24.175,-7.05772)
855:(X,Y) = (24.6589,-8.99831)
856:(X,Y) = (26.3549,-10.0581)
857:(X,Y) = (24.4231,-9.54051)
858:(X,Y) = (23.0848,-8.05422)
859:(X,Y) = (22.1769,-9.83623)
860:(X,Y) = (23.9895,-8.991)
861:(X,Y) = (25.6075,-10.1666)
862:(X,Y) = (25.468,-8.17144)
863:(X,Y) = (24.1824,-9.70353)
864:(X,Y) = (22.7197,-8.33953)
865:(X,Y) = (23.4689,-10.1939)
866:(X,Y) = (25.3914,-9.64263)
867:(X,Y) = (26.9235,-10.9282)
868:(X,Y) = (27.9834,-9.2321)
869:(X,Y) = (26.6713,-7.72269)
870:(X,Y) = (28.67,-7.65289)
871:(X,Y) = (30.6688,-7.58309)
872:(X,Y) = (29.6387,-9.29742)
873:(X,Y) = (30.5155,-11.095)
874:(X,Y) = (32.3426,-10.2815)
875:(X,Y) = (33.4024,-8.58544)
876:(X,Y) = (35.0798,-7.49616)
877:(X,Y) = (36.9341,-6.74695)
878:(X,Y) = (38.5101,-5.51563)
879:(X,Y) = (40.5025,-5.68994)
880:(X,Y) = (39.6258,-3.89235)
881:(X,Y) = (40.0757,-5.84109)
882:(X,Y) = (40.25,-3.8487)
883:(X,Y) = (38.5727,-4.93798)
884:(X,Y) = (40.5578,-5.18172)
885:(X,Y) = (38.6556,-4.56368)
886:(X,Y) = (40.5228,-5.28042)
887:(X,Y) = (41.4617,-3.51452)
888:(X,Y) = (39.7474,-2.48445)
889:(X,Y) = (41.7471,-2.51935)
890:(X,Y) = (39.7498,-2.62402)
891:(X,Y) = (38.9684,-0.783015)
892:(X,Y) = (39.6524,-2.6624)
893:(X,Y) = (38.0552,-3.86603)
894:(X,Y) = (39.8372,-4.77401)
895:(X,Y) = (37.9828,-4.0248)
896:(X,Y) = (38.732,-2.17043)
897:(X,Y) = (36.8095,-1.61916)
898:(X,Y) = (35.4202,-0.180476)
899:(X,Y) = (37.3223,0.437558)
900:(X,Y) = (35.4551,1.15429)
901:(X,Y) = (33.4579,1.04962)
902:(X,Y) = (32.3686,-0.627719)
903:(X,Y) = (30.5866,0.280262)
904:(X,Y) = (30.9682,2.24352)
905:(X,Y) = (30.3171,0.352479)
906:(X,Y) = (29.7323,-1.56013)
907:(X,Y) = (31.0963,-3.02284)
908:(X,Y) = (31.9731,-4.82043)
909:(X,Y) = (32.6571,-2.94104)
910:(X,Y) = (31.0598,-1.73741)
911:(X,Y) = (31.6446,0.175199)
912:(X,Y) = (32.4898,-1.63742)
913:(X,Y) = (31.5202,0.111822)
914:(X,Y) = (33.3746,-0.637391)
915:(X,Y) = (31.3758,-0.567592)
916:(X,Y) = (30.1444,-2.14361)
917:(X,Y) = (30.8612,-4.01077)
918:(X,Y) = (32.7283,-4.72751)
919:(X,Y) = (31.0322,-5.78735)
920:(X,Y) = (32.3962,-7.25006)
921:(X,Y) = (30.91,-8.58832)
922:(X,Y) = (29.2919,-9.76389)
923:(X,Y) = (28.6739,-11.666)
924:(X,Y) = (27.2597,-10.2518)
925:(X,Y) = (25.3576,-10.8698)
926:(X,Y) = (26.8896,-12.1554)
927:(X,Y) = (25.0626,-11.3419)
928:(X,Y) = (26.7587,-10.2821)
929:(X,Y) = (25.9134,-12.0947)
930:(X,Y) = (25.2294,-10.2153)
931:(X,Y) = (23.254,-9.90245)
932:(X,Y) = (22.5373,-11.7696)
933:(X,Y) = (20.8229,-10.7395)
934:(X,Y) = (21.2728,-8.79079)
935:(X,Y) = (20.7552,-10.7226)
936:(X,Y) = (19.3165,-12.112)
937:(X,Y) = (20.4637,-13.7503)
938:(X,Y) = (22.4609,-13.8549)
939:(X,Y) = (23.3062,-12.0423)
940:(X,Y) = (24.0229,-10.1752)
941:(X,Y) = (25.5772,-11.4338)
942:(X,Y) = (24.8932,-9.55441)
943:(X,Y) = (23.1273,-10.4934)
944:(X,Y) = (24.9093,-11.4013)
945:(X,Y) = (25.1876,-13.3819)
946:(X,Y) = (23.8755,-14.8913)
947:(X,Y) = (23.094,-13.0503)
948:(X,Y) = (22.064,-14.7646)
949:(X,Y) = (20.1729,-15.4158)
950:(X,Y) = (19.2649,-13.6337)
951:(X,Y) = (18.6138,-11.7427)
952:(X,Y) = (19.1314,-9.81085)
953:(X,Y) = (18.5134,-7.90874)
954:(X,Y) = (17.5134,-6.17669)
955:(X,Y) = (15.5283,-6.42043)
956:(X,Y) = (13.6739,-5.67121)
957:(X,Y) = (12.6439,-3.95688)
958:(X,Y) = (14.6135,-4.30418)
959:(X,Y) = (16.1229,-5.61629)
960:(X,Y) = (18.0139,-4.96516)
961:(X,Y) = (16.2996,-3.93508)
962:(X,Y) = (15.9867,-5.91046)
963:(X,Y) = (15.9518,-3.91076)
964:(X,Y) = (13.9594,-3.73645)
965:(X,Y) = (15.9567,-3.63178)
966:(X,Y) = (14.1023,-4.38099)
967:(X,Y) = (15.1324,-6.09533)
968:(X,Y) = (13.4363,-7.15517)
969:(X,Y) = (15.2634,-7.96864)
970:(X,Y) = (15.2983,-9.96833)
971:(X,Y) = (15.3332,-7.96864)
972:(X,Y) = (13.336,-7.86397)
973:(X,Y) = (13.9871,-5.97293)
974:(X,Y) = (12.085,-6.59096)
975:(X,Y) = (10.6708,-8.00518)
976:(X,Y) = (12.3481,-9.09446)
977:(X,Y) = (13.4079,-7.39836)
978:(X,Y) = (15.026,-8.57393)
979:(X,Y) = (16.6841,-7.45554)
980:(X,Y) = (16.1664,-9.3874)
981:(X,Y) = (14.1692,-9.28272)
982:(X,Y) = (12.5309,-8.13557)
983:(X,Y) = (14.4435,-7.55083)
984:(X,Y) = (16.1755,-8.55083)
985:(X,Y) = (15.7256,-6.60209)
986:(X,Y) = (15.7605,-8.60178)
987:(X,Y) = (13.8199,-8.11794)
988:(X,Y) = (14.9671,-9.75624)
989:(X,Y) = (13.655,-8.24682)
990:(X,Y) = (14.7733,-9.9049)
991:(X,Y) = (12.8823,-10.556)
992:(X,Y) = (10.9913,-11.2072)
993:(X,Y) = (12.0213,-12.9215)
994:(X,Y) = (13.6794,-14.0399)
995:(X,Y) = (12.2407,-12.6506)
996:(X,Y) = (10.2557,-12.8943)
997:(X,Y) = (12.1962,-13.3782)
998:(X,Y) = (10.2112,-13.1344)
999:(X,Y) = (9.39768,-11.3073)
1000:(X,Y) = (7.91139,-9.96907)
1001:(X,Y) = (8.32721,-11.9254)
1002:(X,Y) = (8.53627,-9.93632)
1003:(X,Y) = (8.53627,-7.93632)
1004:(X,Y) = (10.4926,-7.5205)
1005:(X,Y) = (10.8054,-9.49587)
1006:(X,Y) = (10.7356,-11.4947)
1007:(X,Y) = (10.1509,-9.58204)
1008:(X,Y) = (8.24878,-10.2001)
1009:(X,Y) = (8.59607,-12.1697)
1010:(X,Y) = (7.566,-13.884)
1011:(X,Y) = (8.85157,-15.4161)
1012:(X,Y) = (6.85645,-15.5556)
1013:(X,Y) = (8.19471,-14.0693)
1014:(X,Y) = (6.80539,-12.6307)
1015:(X,Y) = (8.61801,-11.7854)
1016:(X,Y) = (10.1501,-10.4998)
1017:(X,Y) = (11.9627,-9.65461)
1018:(X,Y) = (12.1718,-7.66557)
1019:(X,Y) = (13.769,-6.46194)
1020:(X,Y) = (11.8203,-6.01204)
1021:(X,Y) = (10.9436,-7.80962)
1022:(X,Y) = (12.8841,-7.32578)
1023:(X,Y) = (11.572,-8.8352)
1024:(X,Y) = (11.7115,-10.8303)
1025:(X,Y) = (10.8036,-9.04832)
1026:(X,Y) = (9.20629,-7.84469)
1027:(X,Y) = (10.2063,-9.57674)
1028:(X,Y) = (8.6742,-10.8623)
1029:(X,Y) = (7.73526,-12.6282)
1030:(X,Y) = (5.93767,-13.5049)
1031:(X,Y) = (7.66972,-12.5049)
1032:(X,Y) = (9.61031,-12.9888)
1033:(X,Y) = (7.67846,-12.4712)
1034:(X,Y) = (9.54562,-13.1879)
1035:(X,Y) = (9.54562,-11.1879)
1036:(X,Y) = (9.37131,-9.1955)
1037:(X,Y) = (11.0096,-8.04835)
1038:(X,Y) = (9.92034,-6.37101)
1039:(X,Y) = (11.8609,-5.88716)
1040:(X,Y) = (11.1117,-4.0328)
1041:(X,Y) = (12.5744,-2.6688)
1042:(X,Y) = (13.1925,-0.766685)
1043:(X,Y) = (11.2699,-1.31796)
1044:(X,Y) = (13.0192,-2.28758)
1045:(X,Y) = (12.9145,-4.28484)
1046:(X,Y) = (12.8447,-2.28606)
1047:(X,Y) = (14.8398,-2.14654)
1048:(X,Y) = (12.8593,-1.8682)
1049:(X,Y) = (12.4094,0.0805424)
1050:(X,Y) = (10.417,0.254854)
1051:(X,Y) = (12.2296,1.10009)
1052:(X,Y) = (12.0206,3.08913)
1053:(X,Y) = (13.4592,4.47845)
1054:(X,Y) = (15.1366,3.38917)
1055:(X,Y) = (16.0133,1.59158)
1056:(X,Y) = (14.624,3.03026)
1057:(X,Y) = (12.6486,2.7174)
1058:(X,Y) = (13.9869,4.20369)
1059:(X,Y) = (12.1893,3.32694)
1060:(X,Y) = (10.6133,2.09562)
1061:(X,Y) = (10.857,4.08071)
1062:(X,Y) = (10.7523,6.07797)
1063:(X,Y) = (9.0203,5.07797)
1064:(X,Y) = (9.22935,3.08893)
1065:(X,Y) = (9.22935,5.08893)
1066:(X,Y) = (9.74699,3.15708)
1067:(X,Y) = (8.43487,4.66649)
1068:(X,Y) = (7.95103,2.7259)
1069:(X,Y) = (7.16957,4.56691)
1070:(X,Y) = (5.42033,3.59729)
1071:(X,Y) = (5.59464,1.6049)
1072:(X,Y) = (6.50262,3.38692)
1073:(X,Y) = (8.23467,2.38692)
1074:(X,Y) = (10.1141,3.07096)
1075:(X,Y) = (11.5527,4.46027)
1076:(X,Y) = (12.6126,2.76418)
1077:(X,Y) = (12.2997,4.73956)
1078:(X,Y) = (13.9177,3.56398)
1079:(X,Y) = (15.7153,4.44073)
1080:(X,Y) = (15.0313,6.32011)
1081:(X,Y) = (16.2626,4.74409)
1082:(X,Y) = (14.3954,4.02735)
1083:(X,Y) = (15.7594,2.56465)
1084:(X,Y) = (14.8827,4.36224)
1085:(X,Y) = (15.9128,6.07657)
1086:(X,Y) = (14.5745,4.59028)
1087:(X,Y) = (14.3655,6.57932)
1088:(X,Y) = (13.6487,4.71216)
1089:(X,Y) = (14.1326,6.65275)
1090:(X,Y) = (12.335,7.5295)
1091:(X,Y) = (10.3717,7.14788)
1092:(X,Y) = (8.39635,6.83501)
1093:(X,Y) = (6.47383,7.38628)
1094:(X,Y) = (7.59221,5.72821)
1095:(X,Y) = (6.74698,3.91559)
1096:(X,Y) = (8.27907,2.63002)
1097:(X,Y) = (7.52985,0.775651)
1098:(X,Y) = (9.50523,1.08852)
1099:(X,Y) = (7.82789,-0.000757904)
1100:(X,Y) = (9.80326,0.312111)
1101:(X,Y) = (9.25199,2.23463)
1102:(X,Y) = (7.7657,0.896373)
1103:(X,Y) = (9.1297,-0.566334)
1104:(X,Y) = (8.99018,-2.56146)
1105:(X,Y) = (10.7561,-1.62252)
1106:(X,Y) = (10.8956,0.372609)
1107:(X,Y) = (8.89833,0.267937)
1108:(X,Y) = (8.31359,2.18055)
1109:(X,Y) = (6.69556,3.35612)
1110:(X,Y) = (8.6846,3.56517)
1111:(X,Y) = (10.0988,2.15096)
1112:(X,Y) = (8.24445,2.90017)
1113:(X,Y) = (9.75386,1.58806)
1114:(X,Y) = (11.3299,0.356733)
1115:(X,Y) = (13.0619,1.35673)
1116:(X,Y) = (14.0316,-0.392507)
1117:(X,Y) = (15.9541,0.158768)
1118:(X,Y) = (15.6068,2.12838)
1119:(X,Y) = (13.8092,1.25164)
1120:(X,Y) = (12.4971,-0.257778)
1121:(X,Y) = (10.5845,0.326965)
1122:(X,Y) = (11.8158,-1.24906)
1123:(X,Y) = (10.1577,-2.36744)
1124:(X,Y) = (8.60342,-1.1088)
1125:(X,Y) = (10.2808,-2.19808)
1126:(X,Y) = (8.37865,-1.58005)
1127:(X,Y) = (8.41356,-3.57974)
1128:(X,Y) = (10.4123,-3.64954)
1129:(X,Y) = (8.5213,-2.9984)
1130:(X,Y) = (8.8686,-1.02879)
1131:(X,Y) = (10.7707,-1.64682)
1132:(X,Y) = (12.109,-3.13311)
1133:(X,Y) = (11.0491,-4.82921)
1134:(X,Y) = (9.37179,-3.73993)
1135:(X,Y) = (9.98983,-1.83782)
1136:(X,Y) = (10.3027,0.13756)
1137:(X,Y) = (10.7185,-1.81874)
1138:(X,Y) = (12.7109,-1.99305)
1139:(X,Y) = (10.7884,-2.54432)
1140:(X,Y) = (8.909,-1.86028)
1141:(X,Y) = (6.91996,-2.06934)
1142:(X,Y) = (7.76519,-0.256722)
1143:(X,Y) = (5.77006,-0.117209)
1144:(X,Y) = (4.07397,0.942629)
1145:(X,Y) = (3.29251,-0.898381)
1146:(X,Y) = (3.60537,1.077)
1147:(X,Y) = (4.51335,2.85901)
1148:(X,Y) = (6.38052,3.57575)
1149:(X,Y) = (6.31072,1.57696)
1150:(X,Y) = (5.82687,-0.363628)
1151:(X,Y) = (6.47801,-2.25467)
1152:(X,Y) = (5.76127,-4.12183)
1153:(X,Y) = (3.77618,-4.36556)
1154:(X,Y) = (2.01029,-3.42662)
1155:(X,Y) = (0.646289,-4.88933)
1156:(X,Y) = (-1.01179,-3.77094)
1157:(X,Y) = (-0.327746,-5.65033)
1158:(X,Y) = (1.48487,-4.80509)
1159:(X,Y) = (-0.133164,-5.98066)
1160:(X,Y) = (-1.52248,-4.54198)
1161:(X,Y) = (-3.50757,-4.78572)
1162:(X,Y) = (-3.78592,-2.80519)
